,id,Game Number,Guess,Answer,username,Feedback,Output,Score
,1,1456,1,GHOST,user_0,bbbbb,⬜️⬜️⬜️⬜️⬜️,6.083264512
,2,1456,2,GHOST,user_0,yggbb,🟨🟩🟩⬜️⬜️,61.5960469842849
,3,1456,3,GHOST,user_0,yggyb,🟨🟩🟩🟨⬜️,67.5421352613697
,4,1456,4,GHOST,user_0,ggggg,🟩🟩🟩🟩🟩,130
,5,1540,1,BULGE,user_1,bybbb,⬜️🟨⬜️⬜️⬜️,12.0293527890849
,6,1540,2,BULGE,user_1,bbbbg,⬜️⬜️⬜️⬜️🟩,30.8666116096
,7,1540,3,BULGE,user_1,yybyg,🟨🟨⬜️🟨🟩,48.7048764408546
,8,1540,4,BULGE,user_1,Ggggg,🟩🟩🟩🟩🟩,130
,9,1540,1,BULGE,user_2,bbbyb,⬜️⬜️⬜️🟨⬜️,12.0293527890849
,10,1540,2,BULGE,user_2,yygyb,🟨🟨🟩🟨⬜️,48.7048764408546
,11,1540,3,BULGE,user_2,gggbb,🟩🟩🟩⬜️⬜️,80.4333058048
,12,1540,4,BULGE,user_2,ggggg,🟩🟩🟩🟩🟩,130
,13,1540,1,BULGE,user_0,bbbyy,⬜️⬜️⬜️🟨🟨,17.9754410661697
,14,1540,2,BULGE,user_0,bbybg,⬜️⬜️🟨⬜️🟩,36.8126998866849
,15,1540,3,BULGE,user_0,bgbbg,⬜️🟩⬜️⬜️🟩,55.6499587072
,16,1540,4,BULGE,user_0,bgbbg,⬜️🟩⬜️⬜️🟩,55.6499587072
,17,1540,5,BULGE,user_0,ggbbg,🟩🟩⬜️⬜️🟩,80.4333058048
,18,1540,6,BULGE,user_0,ggyyg,🟩🟩🟨🟨🟩,92.3254823589697
,19,1541,1,TENOR,user_0,bbbyb,⬜️⬜️⬜️🟨⬜️,12.0293527890849
,20,1541,2,TENOR,user_0,bbyyy,⬜️⬜️🟨🟨🟨,23.9215293432546
,21,1541,3,TENOR,user_0,ggggg,🟩🟩🟩🟩🟩,130
,22,1541,1,TENOR,user_3,ybyyb,🟨⬜️🟨🟨⬜️,23.9215293432546
,23,1541,2,TENOR,user_3,ggbyb,🟩🟩⬜️🟨⬜️,61.5960469842849
,24,1541,3,TENOR,user_3,ggggg,🟩🟩🟩🟩🟩,130
,25,1541,1,TENOR,user_4,ygbbb,🟨🟩⬜️⬜️⬜️,36.8126998866849
,26,1541,2,TENOR,user_4,gggbb,🟩🟩🟩⬜️⬜️,80.4333058048
,27,1541,3,TENOR,user_4,ggggg,🟩🟩🟩🟩🟩,130
,28,1541,1,TENOR,user_2,byybb,⬜️🟨🟨⬜️⬜️,17.9754410661697
,29,1541,2,TENOR,user_2,yybby,🟨🟨⬜️⬜️🟨,23.9215293432546
,30,1541,3,TENOR,user_2,gyybb,🟩🟨🟨⬜️⬜️,42.7587881637697
,31,1541,4,TENOR,user_2,gbbyb,🟩⬜️⬜️🟨⬜️,36.8126998866849
,32,1541,5,TENOR,user_2,ggggg,🟩🟩🟩🟩🟩,130
,33,1542,1,CHIRP,user_4,ybbyb,🟨⬜️⬜️🟨⬜️,17.9754410661697
,34,1542,2,CHIRP,user_4,ggggg,🟩🟩🟩🟩🟩,130
,35,1542,1,CHIRP,user_0,bbgbb,⬜️⬜️🟩⬜️⬜️,30.8666116096
,36,1542,2,CHIRP,user_0,bbgbb,⬜️⬜️🟩⬜️⬜️,30.8666116096
,37,1542,3,CHIRP,user_0,bbgbb,⬜️⬜️🟩⬜️⬜️,30.8666116096
,38,1542,4,CHIRP,user_0,yygyb,🟨🟨🟩🟨⬜️,48.7048764408546
,39,1542,5,CHIRP,user_0,ggggg,🟩🟩🟩🟩🟩,130
,40,1542,1,CHIRP,user_2,byybb,⬜️🟨🟨⬜️⬜️,17.9754410661697
,41,1542,2,CHIRP,user_2,ybbyb,🟨⬜️⬜️🟨⬜️,17.9754410661697
,42,1542,3,CHIRP,user_2,gygbb,🟩🟨🟩⬜️⬜️,61.5960469842849
,43,1542,4,CHIRP,user_2,gbggb,🟩⬜️🟩🟩⬜️,80.4333058048
